accident art crime economics education entertainment environment international opinion politics science_tech sports predicted target
0.00 0.66 0.01 0.01 0.06 0.06 0.01 0.10 0.01 0.01 0.01 0.06 1 8
0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.97 11 1
0.09 0.00 0.00 0.00 0.00 0.00 0.90 0.00 0.00 0.00 0.00 0.00 6 0
0.07 0.01 0.14 0.51 0.00 0.01 0.12 0.01 0.02 0.09 0.01 0.01 3 2
0.00 0.00 0.00 0.00 0.99 0.00 0.00 0.00 0.00 0.01 0.00 0.00 4 5
0.04 0.01 0.39 0.03 0.13 0.01 0.21 0.02 0.04 0.10 0.02 0.01 2 0
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 11 1
0.02 0.02 0.00 0.01 0.01 0.00 0.04 0.33 0.56 0.00 0.01 0.00 8 7
0.00 0.02 0.03 0.00 0.17 0.01 0.02 0.18 0.53 0.02 0.01 0.00 8 7
0.00 0.23 0.00 0.00 0.05 0.01 0.00 0.07 0.00 0.00 0.62 0.00 10 1
0.01 0.01 0.01 0.29 0.01 0.01 0.18 0.05 0.01 0.02 0.38 0.03 10 3
0.00 0.00 0.32 0.04 0.07 0.01 0.00 0.01 0.33 0.19 0.01 0.02 8 4
0.02 0.08 0.23 0.03 0.03 0.05 0.19 0.19 0.02 0.04 0.11 0.01 2 7
0.00 0.00 0.00 0.03 0.00 0.01 0.01 0.68 0.15 0.11 0.00 0.01 7 9
0.00 0.00 0.00 0.00 0.88 0.00 0.00 0.00 0.00 0.00 0.12 0.00 4 10
0.78 0.01 0.18 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0 2
0.99 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0 2
0.01 0.02 0.01 0.26 0.21 0.02 0.04 0.02 0.37 0.01 0.02 0.01 3 8
0.00 0.00 0.00 0.00 0.70 0.00 0.28 0.00 0.01 0.00 0.00 0.00 4 6
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.49 0.51 0.00 0.00 9 8
0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 11 1
0.28 0.02 0.40 0.01 0.02 0.01 0.15 0.01 0.02 0.03 0.01 0.03 2 0
0.00 0.81 0.00 0.00 0.00 0.17 0.00 0.00 0.01 0.00 0.00 0.00 1 5
0.00 0.01 0.01 0.23 0.02 0.01 0.01 0.01 0.39 0.28 0.01 0.01 3 9
0.95 0.02 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.00 0.01 0.00 0 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 11 10
0.00 0.94 0.00 0.00 0.00 0.03 0.00 0.00 0.01 0.00 0.00 0.01 1 5
0.00 0.45 0.00 0.00 0.00 0.03 0.48 0.00 0.01 0.00 0.00 0.01 6 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.32 0.00 0.67 0.00 10 0
0.00 0.00 0.00 0.13 0.00 0.00 0.02 0.00 0.00 0.58 0.26 0.00 9 10
0.12 0.01 0.37 0.17 0.01 0.01 0.02 0.01 0.24 0.03 0.02 0.01 2 0
0.00 0.02 0.00 0.00 0.00 0.22 0.01 0.72 0.01 0.00 0.00 0.02 7 5
0.09 0.20 0.05 0.01 0.01 0.31 0.06 0.17 0.04 0.01 0.02 0.03 1 0
0.00 0.36 0.02 0.00 0.02 0.33 0.03 0.01 0.01 0.00 0.02 0.19 1 5
0.00 0.00 0.00 0.02 0.00 0.00 0.20 0.76 0.01 0.00 0.00 0.00 7 6
0.01 0.01 0.18 0.16 0.02 0.03 0.16 0.17 0.02 0.03 0.19 0.02 2 3
0.11 0.30 0.07 0.01 0.00 0.01 0.01 0.04 0.04 0.01 0.38 0.02 10 1
0.07 0.52 0.04 0.00 0.01 0.01 0.28 0.01 0.02 0.01 0.01 0.04 1 11
0.00 0.46 0.02 0.00 0.36 0.09 0.01 0.00 0.05 0.00 0.00 0.01 1 4
0.00 0.00 0.00 0.76 0.00 0.00 0.00 0.00 0.22 0.00 0.01 0.00 3 8
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 11 8
0.65 0.01 0.07 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.25 0 11
0.00 0.64 0.00 0.00 0.00 0.02 0.00 0.00 0.33 0.00 0.00 0.00 1 8
0.95 0.00 0.01 0.00 0.00 0.00 0.03 0.00 0.00 0.01 0.00 0.00 0 2
0.34 0.14 0.01 0.00 0.00 0.00 0.49 0.00 0.00 0.00 0.01 0.01 6 1
0.00 0.06 0.02 0.00 0.03 0.85 0.00 0.02 0.00 0.00 0.00 0.00 5 1
0.02 0.00 0.11 0.16 0.01 0.06 0.05 0.00 0.01 0.56 0.02 0.00 9 3
0.00 0.49 0.00 0.01 0.02 0.11 0.05 0.00 0.30 0.01 0.00 0.01 1 5
0.02 0.00 0.35 0.02 0.00 0.00 0.03 0.00 0.00 0.57 0.00 0.00 9 2
0.02 0.08 0.01 0.07 0.06 0.11 0.25 0.16 0.01 0.01 0.08 0.14 6 9
0.00 0.88 0.00 0.00 0.00 0.10 0.00 0.00 0.00 0.00 0.00 0.02 1 5
0.02 0.08 0.01 0.07 0.06 0.11 0.25 0.16 0.01 0.01 0.08 0.14 6 7
0.00 0.00 0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.00 0.00 0.00 0.97 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 3 9
0.00 0.74 0.00 0.00 0.03 0.22 0.00 0.00 0.00 0.00 0.01 0.00 1 5
0.00 0.00 0.00 0.00 0.95 0.00 0.01 0.00 0.03 0.00 0.00 0.00 4 7
0.00 0.01 0.00 0.05 0.35 0.01 0.02 0.01 0.11 0.00 0.41 0.01 10 4
0.39 0.00 0.00 0.00 0.00 0.00 0.00 0.56 0.00 0.00 0.03 0.00 7 0
0.01 0.02 0.00 0.02 0.05 0.00 0.03 0.48 0.05 0.00 0.34 0.00 7 10
0.03 0.03 0.03 0.13 0.05 0.11 0.01 0.01 0.01 0.11 0.47 0.02 10 3
0.00 0.64 0.00 0.01 0.01 0.01 0.22 0.00 0.09 0.00 0.01 0.01 1 6
0.01 0.12 0.01 0.00 0.76 0.00 0.02 0.00 0.04 0.00 0.01 0.02 4 1
0.00 0.00 0.00 0.06 0.00 0.00 0.00 0.00 0.94 0.00 0.00 0.00 8 3
0.07 0.07 0.01 0.11 0.00 0.01 0.06 0.03 0.32 0.01 0.02 0.29 8 11
0.01 0.36 0.00 0.03 0.11 0.05 0.03 0.06 0.19 0.00 0.09 0.06 1 10
0.00 0.07 0.00 0.03 0.06 0.03 0.01 0.00 0.00 0.00 0.03 0.76 11 4
0.00 0.00 0.01 0.03 0.00 0.00 0.00 0.01 0.00 0.02 0.92 0.00 10 4
0.00 0.00 0.00 0.61 0.02 0.00 0.00 0.00 0.00 0.00 0.36 0.00 3 10
0.00 0.31 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.68 11 1
0.03 0.09 0.00 0.01 0.01 0.01 0.04 0.01 0.03 0.00 0.56 0.22 10 11
0.00 0.01 0.00 0.00 0.00 0.00 0.14 0.00 0.00 0.00 0.83 0.00 10 6
0.09 0.50 0.00 0.01 0.00 0.00 0.00 0.01 0.38 0.00 0.01 0.00 1 8
0.09 0.01 0.11 0.01 0.01 0.01 0.23 0.01 0.01 0.50 0.01 0.01 9 6
0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.00 0.00 0.00 0.00 0.96 11 6
0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1 11
0.04 0.02 0.01 0.10 0.12 0.02 0.04 0.07 0.21 0.01 0.31 0.05 8 3
0.96 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0 11
0.00 0.00 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 0.00 9 2
0.00 0.00 0.00 0.00 0.49 0.00 0.00 0.00 0.50 0.00 0.00 0.00 8 4
0.04 0.09 0.01 0.04 0.03 0.06 0.37 0.02 0.03 0.06 0.02 0.23 6 11
0.00 0.00 0.00 0.90 0.00 0.00 0.00 0.00 0.00 0.00 0.10 0.00 3 10
0.33 0.21 0.01 0.01 0.14 0.01 0.13 0.08 0.02 0.00 0.01 0.05 0 1
0.10 0.49 0.16 0.00 0.00 0.10 0.03 0.06 0.01 0.02 0.01 0.02 1 2
0.00 0.05 0.00 0.00 0.01 0.10 0.00 0.54 0.02 0.00 0.01 0.26 7 10
0.95 0.00 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.02 0.00 0 10
0.02 0.01 0.01 0.14 0.05 0.02 0.07 0.10 0.03 0.02 0.16 0.37 10 11
0.24 0.00 0.49 0.11 0.00 0.00 0.06 0.00 0.03 0.04 0.02 0.00 2 3
0.00 0.02 0.00 0.00 0.67 0.25 0.00 0.00 0.02 0.01 0.01 0.01 4 5
0.02 0.03 0.00 0.17 0.01 0.02 0.03 0.25 0.40 0.00 0.08 0.01 8 3
0.02 0.00 0.00 0.67 0.00 0.00 0.23 0.01 0.06 0.00 0.01 0.00 3 6
0.00 0.01 0.00 0.74 0.00 0.00 0.18 0.00 0.06 0.01 0.00 0.00 3 6
0.00 0.21 0.00 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.01 0.75 11 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.24 0.75 0.00 0.00 9 8
0.00 0.61 0.00 0.00 0.01 0.19 0.01 0.04 0.06 0.01 0.00 0.07 1 8
0.01 0.04 0.00 0.24 0.01 0.01 0.02 0.03 0.48 0.14 0.03 0.01 3 8
0.00 0.01 0.00 0.00 0.00 0.00 0.96 0.00 0.00 0.00 0.01 0.00 6 10
0.00 0.04 0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.94 11 1
0.00 0.40 0.01 0.00 0.04 0.43 0.03 0.03 0.03 0.00 0.00 0.03 5 1
0.00 0.01 0.00 0.00 0.00 0.00 0.86 0.00 0.00 0.00 0.00 0.13 6 0
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.06 0.00 0.00 0.93 0.00 10 7
0.00 0.00 0.72 0.00 0.00 0.00 0.00 0.00 0.00 0.28 0.00 0.00 2 9
0.00 0.10 0.00 0.00 0.02 0.13 0.00 0.02 0.36 0.00 0.01 0.34 8 11
0.00 0.40 0.00 0.01 0.01 0.23 0.02 0.00 0.01 0.00 0.06 0.25 1 5
0.00 0.03 0.01 0.22 0.01 0.02 0.04 0.02 0.02 0.03 0.13 0.48 11 10
0.00 0.87 0.00 0.00 0.00 0.06 0.00 0.01 0.04 0.00 0.00 0.01 1 7
0.00 0.37 0.00 0.01 0.04 0.23 0.01 0.02 0.30 0.00 0.00 0.01 1 8
0.00 0.86 0.00 0.00 0.00 0.09 0.00 0.01 0.00 0.00 0.01 0.00 1 5
0.00 0.32 0.00 0.00 0.00 0.00 0.00 0.00 0.66 0.01 0.00 0.01 8 1
0.00 0.00 0.00 0.42 0.03 0.00 0.02 0.04 0.49 0.00 0.00 0.00 3 8
0.00 0.00 0.08 0.91 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3 2
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02 0.59 0.38 0.00 0.00 8 9
0.00 0.03 0.01 0.00 0.01 0.01 0.56 0.00 0.37 0.00 0.00 0.00 6 8
0.00 0.26 0.00 0.00 0.00 0.74 0.00 0.00 0.00 0.00 0.00 0.00 5 1
0.01 0.00 0.05 0.00 0.00 0.00 0.01 0.84 0.01 0.00 0.00 0.06 7 11
0.01 0.01 0.28 0.37 0.00 0.02 0.20 0.03 0.02 0.01 0.04 0.01 3 2
0.01 0.04 0.10 0.09 0.00 0.01 0.43 0.14 0.13 0.01 0.02 0.01 6 2
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.86 0.14 0.00 0.00 0.00 7 8
0.15 0.21 0.05 0.01 0.01 0.01 0.27 0.01 0.02 0.01 0.06 0.20 6 1
0.00 0.98 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 1 5
0.00 0.04 0.00 0.00 0.09 0.00 0.00 0.00 0.00 0.00 0.00 0.86 11 4
0.01 0.41 0.00 0.01 0.05 0.04 0.37 0.03 0.05 0.00 0.01 0.01 1 6
0.01 0.01 0.01 0.04 0.01 0.02 0.03 0.40 0.00 0.00 0.43 0.04 10 7
0.01 0.02 0.00 0.01 0.00 0.12 0.05 0.46 0.00 0.00 0.32 0.00 7 10
0.08 0.22 0.01 0.01 0.01 0.01 0.27 0.00 0.01 0.01 0.22 0.15 6 11
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.99 0.00 10 4
0.01 0.01 0.05 0.55 0.00 0.00 0.21 0.01 0.01 0.14 0.01 0.01 3 2
0.00 0.36 0.02 0.01 0.01 0.25 0.03 0.01 0.13 0.00 0.16 0.02 1 5
0.00 0.62 0.00 0.00 0.00 0.35 0.00 0.00 0.00 0.00 0.00 0.01 1 5
0.00 0.49 0.00 0.00 0.00 0.01 0.00 0.00 0.01 0.00 0.00 0.48 11 1
0.04 0.15 0.00 0.03 0.10 0.16 0.01 0.08 0.38 0.01 0.02 0.01 8 7
0.29 0.01 0.26 0.07 0.02 0.01 0.07 0.02 0.07 0.04 0.13 0.02 0 2
0.00 0.65 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.33 1 11
0.01 0.04 0.02 0.02 0.01 0.01 0.26 0.02 0.47 0.04 0.09 0.01 8 2
0.02 0.00 0.70 0.01 0.00 0.00 0.01 0.04 0.16 0.05 0.01 0.01 2 8
0.14 0.05 0.13 0.32 0.01 0.08 0.10 0.10 0.01 0.03 0.01 0.02 3 5
0.00 0.00 0.00 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.98 0.00 10 3
0.00 0.00 0.00 0.92 0.01 0.00 0.01 0.01 0.02 0.00 0.02 0.00 3 10
0.00 0.00 0.01 0.68 0.00 0.00 0.01 0.00 0.00 0.28 0.02 0.00 3 9
0.02 0.00 0.34 0.08 0.12 0.01 0.28 0.02 0.07 0.06 0.01 0.01 2 4
0.01 0.00 0.01 0.04 0.00 0.00 0.39 0.25 0.28 0.01 0.00 0.00 6 7
0.00 0.10 0.00 0.00 0.01 0.74 0.03 0.05 0.02 0.01 0.01 0.03 5 8
0.16 0.05 0.03 0.01 0.01 0.04 0.23 0.31 0.01 0.01 0.01 0.13 7 6
0.00 0.00 0.00 0.76 0.00 0.00 0.18 0.00 0.02 0.01 0.01 0.00 3 6
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.23 0.76 0.00 0.00 9 8
0.02 0.00 0.04 0.18 0.00 0.00 0.34 0.00 0.00 0.40 0.00 0.01 9 6
0.00 0.01 0.02 0.18 0.00 0.30 0.01 0.05 0.01 0.37 0.03 0.01 5 9
0.01 0.02 0.00 0.79 0.01 0.04 0.03 0.01 0.05 0.01 0.03 0.01 3 6
0.00 0.81 0.00 0.01 0.00 0.04 0.03 0.06 0.01 0.01 0.01 0.01 1 5
0.02 0.01 0.04 0.11 0.01 0.02 0.04 0.39 0.01 0.01 0.33 0.01 10 3
0.00 0.04 0.01 0.01 0.03 0.01 0.02 0.01 0.85 0.01 0.01 0.00 8 4
0.00 0.01 0.00 0.02 0.00 0.00 0.00 0.00 0.01 0.05 0.00 0.89 11 9
0.18 0.13 0.34 0.01 0.01 0.01 0.08 0.01 0.03 0.01 0.18 0.02 0 1
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.98 0.00 10 0
0.01 0.04 0.00 0.01 0.00 0.01 0.91 0.00 0.02 0.00 0.00 0.00 6 8
0.00 0.00 0.24 0.00 0.00 0.00 0.00 0.00 0.00 0.76 0.00 0.00 9 2
0.05 0.02 0.01 0.12 0.28 0.02 0.03 0.02 0.16 0.06 0.23 0.01 4 10
0.00 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.96 0.00 0.00 0.01 8 1
0.00 0.01 0.00 0.00 0.00 0.61 0.00 0.37 0.00 0.00 0.01 0.00 5 7
0.00 0.00 0.03 0.00 0.85 0.00 0.01 0.00 0.09 0.01 0.00 0.00 4 7
0.13 0.17 0.12 0.00 0.00 0.01 0.22 0.01 0.03 0.02 0.27 0.02 6 1
0.00 0.44 0.00 0.00 0.00 0.00 0.10 0.00 0.03 0.36 0.00 0.04 9 1
0.00 0.00 0.00 0.04 0.00 0.00 0.01 0.93 0.01 0.01 0.00 0.00 7 3
0.13 0.09 0.08 0.03 0.05 0.02 0.32 0.23 0.02 0.01 0.02 0.01 6 0
0.03 0.02 0.01 0.00 0.01 0.01 0.00 0.73 0.01 0.00 0.04 0.14 7 11
0.00 0.00 0.00 0.00 0.00 0.00 0.96 0.00 0.03 0.00 0.00 0.00 6 8
0.05 0.66 0.01 0.00 0.01 0.00 0.14 0.00 0.02 0.01 0.01 0.10 1 11
0.00 0.33 0.00 0.00 0.00 0.41 0.00 0.01 0.00 0.00 0.01 0.22 5 11
0.00 0.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 3 7
0.00 0.44 0.00 0.00 0.08 0.00 0.42 0.00 0.04 0.00 0.02 0.00 1 6
0.00 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.01 0.00 0.00 0.95 11 1
0.01 0.37 0.00 0.02 0.02 0.02 0.24 0.00 0.04 0.18 0.03 0.07 1 6
0.00 0.03 0.00 0.00 0.00 0.02 0.29 0.03 0.61 0.01 0.01 0.01 8 6
0.00 0.01 0.00 0.01 0.00 0.00 0.43 0.00 0.00 0.00 0.55 0.00 10 6
0.00 0.00 0.54 0.00 0.00 0.00 0.00 0.00 0.00 0.45 0.00 0.00 2 4
0.00 0.86 0.00 0.00 0.00 0.07 0.00 0.00 0.01 0.00 0.05 0.01 1 10
0.01 0.21 0.00 0.00 0.00 0.18 0.07 0.03 0.30 0.00 0.03 0.16 8 1
